1	0	0
2	0	0.25
3	0	0.3
4	0	0.35
5	0	0.4
6	0	0.45
7	0	0.475
8	0	0.5
9	0	0.525
10	0	0.55
11	0	0.6
12	0	0.65
13	0	0.7
14	0	0.75
15	0	1
16	0.25	0
17	0.25	0.25
18	0.25	0.3
19	0.25	0.35
20	0.25	0.4
21	0.25	0.45
22	0.25	0.475
23	0.25	0.5
24	0.25	0.525
25	0.25	0.55
26	0.25	0.6
27	0.25	0.65
28	0.25	0.7
29	0.25	0.75
30	0.25	1
31	0.3	0
32	0.3	0.25
33	0.3	0.3
34	0.3	0.35
35	0.3	0.4
36	0.3	0.45
37	0.3	0.475
38	0.3	0.5
39	0.3	0.525
40	0.3	0.55
41	0.3	0.6
42	0.3	0.65
43	0.3	0.7
44	0.3	0.75
45	0.3	1
46	0.35	0
47	0.35	0.25
48	0.35	0.3
49	0.35	0.35
50	0.35	0.4
51	0.35	0.45
52	0.35	0.475
53	0.35	0.5
54	0.35	0.525
55	0.35	0.55
56	0.35	0.6
57	0.35	0.65
58	0.35	0.7
59	0.35	0.75
60	0.35	1
61	0.4	0
62	0.4	0.25
63	0.4	0.3
64	0.4	0.35
65	0.4	0.4
66	0.4	0.45
67	0.4	0.475
68	0.4	0.5
69	0.4	0.525
70	0.4	0.55
71	0.4	0.6
72	0.4	0.65
73	0.4	0.7
74	0.4	0.75
75	0.4	1
76	0.45	0
77	0.45	0.25
78	0.45	0.3
79	0.45	0.35
80	0.45	0.4
81	0.45	0.45
82	0.45	0.475
83	0.45	0.5
84	0.45	0.525
85	0.45	0.55
86	0.45	0.6
87	0.45	0.65
88	0.45	0.7
89	0.45	0.75
90	0.45	1
91	0.475	0
92	0.475	0.25
93	0.475	0.3
94	0.475	0.35
95	0.475	0.4
96	0.475	0.45
97	0.475	0.55
98	0.475	0.6
99	0.475	0.65
100	0.475	0.7
101	0.475	0.75
102	0.475	1
103	0.5	0
104	0.5	0.25
105	0.5	0.3
106	0.5	0.35
107	0.5	0.4
108	0.5	0.45
109	0.5	0.55
110	0.5	0.6
111	0.5	0.65
112	0.5	0.7
113	0.5	0.75
114	0.5	1
115	0.525	0
116	0.525	0.25
117	0.525	0.3
118	0.525	0.35
119	0.525	0.4
120	0.525	0.45
121	0.525	0.55
122	0.525	0.6
123	0.525	0.65
124	0.525	0.7
125	0.525	0.75
126	0.525	1
127	0.55	0
128	0.55	0.25
129	0.55	0.3
130	0.55	0.35
131	0.55	0.4
132	0.55	0.45
133	0.55	0.475
134	0.55	0.5
135	0.55	0.525
136	0.55	0.55
137	0.55	0.6
138	0.55	0.65
139	0.55	0.7
140	0.55	0.75
141	0.55	1
142	0.6	0
143	0.6	0.25
144	0.6	0.3
145	0.6	0.35
146	0.6	0.4
147	0.6	0.45
148	0.6	0.475
149	0.6	0.5
150	0.6	0.525
151	0.6	0.55
152	0.6	0.6
153	0.6	0.65
154	0.6	0.7
155	0.6	0.75
156	0.6	1
157	0.65	0
158	0.65	0.25
159	0.65	0.3
160	0.65	0.35
161	0.65	0.4
162	0.65	0.45
163	0.65	0.475
164	0.65	0.5
165	0.65	0.525
166	0.65	0.55
167	0.65	0.6
168	0.65	0.65
169	0.65	0.7
170	0.65	0.75
171	0.65	1
172	0.7	0
173	0.7	0.25
174	0.7	0.3
175	0.7	0.35
176	0.7	0.4
177	0.7	0.45
178	0.7	0.475
179	0.7	0.5
180	0.7	0.525
181	0.7	0.55
182	0.7	0.6
183	0.7	0.65
184	0.7	0.7
185	0.7	0.75
186	0.7	1
187	0.75	0
188	0.75	0.25
189	0.75	0.3
190	0.75	0.35
191	0.75	0.4
192	0.75	0.45
193	0.75	0.475
194	0.75	0.5
195	0.75	0.525
196	0.75	0.55
197	0.75	0.6
198	0.75	0.65
199	0.75	0.7
200	0.75	0.75
201	0.75	1
202	1	0
203	1	0.25
204	1	0.3
205	1	0.35
206	1	0.4
207	1	0.45
208	1	0.475
209	1	0.5
210	1	0.525
211	1	0.55
212	1	0.6
213	1	0.65
214	1	0.7
215	1	0.75
216	1	1
